country,cluster_id,year.x,year.y,lat,lon,lsms_id.x,lsms_id.y,diff_of_index,index_of_diff,asset_index.x,asset_index.y,n
et,03070500105,2011,2015,10.9686100623,37.1784774038,et_03070500105_2011,et_03070500105_2015,0.9019024254641322,1.1909954679935686,-0.6066945135276989,0.29520791193643336,4
et,03070502405,2011,2015,10.7927763733,37.144541492,et_03070502405_2011,et_03070502405_2015,0.4368062517895535,0.4494818003014862,-2.3182568073226695,-1.8814505555331158,6
et,03070801402,2011,2015,10.5892768292,37.4615982338,et_03070801402_2011,et_03070801402_2015,0.37076986274818663,0.41403771513603543,-2.188622869357667,-1.81785300660948,5
et,03080201503,2011,2015,12.7580639926,38.9938699775,et_03080201503_2011,et_03080201503_2015,0.330965498180728,0.41484716319154363,-2.476256402146645,-2.145290903965917,3
et,03080300107,2011,2015,12.4280735835,38.705318321,et_03080300107_2011,et_03080300107_2015,-0.8489727872278122,-0.08605675229169343,-0.7917165726547362,-1.6406893598825485,3
et,03080400503,2011,2015,12.3989125709,39.0897466901,et_03080400503_2011,et_03080400503_2015,0.08155083801748039,0.4244750165564932,-2.58439269816469,-2.5028418601472096,5
et,03090101202,2011,2015,11.1913400617,36.9496969313,et_03090101202_2011,et_03090101202_2015,0.4168021555346144,-0.11450050912988854,-1.9754538860507354,-1.558651730516121,5
et,03090202501,2011,2015,10.9346269955,37.0039728964,et_03090202501_2011,et_03090202501_2015,0.057493652063419096,0.12553043720167978,-2.047074277749958,-1.9895806256865387,5
et,03090203201,2011,2015,10.8293373184,37.064423275,et_03090203201_2011,et_03090203201_2015,-0.09205158174697986,0.03219526283116546,-2.041499214797586,-2.133550796544566,4
et,03090501102,2011,2015,11.0636624461,37.0703789795,et_03090501102_2011,et_03090501102_2015,0.16025187444609576,0.11775285692460284,-2.124745575989401,-1.9644937015433053,6
et,03100400408,2011,2015,10.5883521237,39.9074958295,et_03100400408_2011,et_03100400408_2015,0.23604996114999155,-0.3210174599496943,-1.1802989513957765,-0.9442489902457849,3
et,03120100101,2011,2015,11.003906691,39.9387898351,et_03120100101_2011,et_03120100101_2015,0.9760718221965088,0.7400963595084981,-2.2193689135350163,-1.2432970913385075,4
et,03120100303,2011,2015,10.9878391908,39.9234074653,et_03120100303_2011,et_03120100303_2015,0.1102320813534216,0.126033261059881,-2.4606448526145477,-2.350412771261126,9
et,04010102202,2011,2015,9.83705860887,34.9150151529,et_04010102202_2011,et_04010102202_2015,0.913813803787875,0.20038800038760637,-1.7604263852582989,-0.8466125814704238,3
et,04010601302,2011,2015,9.35810274536,35.5751653852,et_04010601302_2011,et_04010601302_2015,0.3952681062115677,0.2919115964457556,-2.0946026877175727,-1.6993345815060052,3
et,04011300501,2011,2015,9.07702977605,35.6156340346,et_04011300501_2011,et_04011300501_2015,1.0006434916124107,0.5290036249135576,-2.304130542687432,-1.3034870510750216,5
et,04011600103,2011,2015,9.38880972769,35.6143908552,et_04011600103_2011,et_04011600103_2015,0.47582533970753477,0.5673869784693882,0.4447851690875638,0.9206105087950985,5
et,04011802402,2011,2015,8.7688653041,35.5671754136,et_04011802402_2011,et_04011802402_2015,0.26726870837103234,0.2637644324213978,-2.307295514766229,-2.0400268063951965,6
et,04020401105,2011,2015,9.84708661386,36.3422982077,et_04020401105_2011,et_04020401105_2015,2.128726616941706,2.142521580096348,-1.491955288352312,0.6367713285893939,3
et,04021001102,2011,2015,9.0308423142,36.4037942076,et_04021001102_2011,et_04021001102_2015,-0.03629933643979033,-0.035236367586510976,-2.2920883059245187,-2.328387642364309,4
et,04021400204,2011,2015,8.74304517464,36.4844481911,et_04021400204_2011,et_04021400204_2015,0.366798636709423,-0.016714696323104898,0.013072528340646917,0.37987116505006985,5
et,04021401801,2011,2015,8.6536780825,36.6077474888,et_04021401801_2011,et_04021401801_2015,0.4569017775649545,0.22314745618578533,-2.0606461396088163,-1.6037443620438618,5
et,04030800401,2011,2015,8.18930636005,36.4699847397,et_04030800401_2011,et_04030800401_2015,0.45218597802334565,0.6477615454764434,-1.9065285883436618,-1.454342610320316,7
et,04031400602,2011,2015,8.16979824749,35.6406321333,et_04031400602_2011,et_04031400602_2015,0.7766915181710597,0.27311281664043774,-1.9056446479018072,-1.1289531297307476,7
et,04040101103,2011,2015,8.64302754866,37.0632145326,et_04040101103_2011,et_04040101103_2015,0.3097049415297281,0.6945844139297993,-1.6284703270666137,-1.3187653855368855,6
et,04040501902,2011,2015,7.66912376181,36.92553529,et_04040501902_2011,et_04040501902_2015,0.1451099063623843,0.5911748029098147,-1.0975853023608755,-0.9524753959984911,8
et,04041000701,2011,2015,7.54783077574,37.0818248622,et_04041000701_2011,et_04041000701_2015,0.6475815242252227,0.5870630713821101,-1.6517865817805106,-1.0042050575552879,7
et,04041200104,2011,2015,7.88005862562,36.0983250614,et_04041200104_2011,et_04041200104_2015,-0.09418917315593363,0.9956678581696873,-0.4493944523747096,-0.5435836255306432,3
et,04041401702,2011,2015,7.47556744642,36.4429756569,et_04041401702_2011,et_04041401702_2015,0.5271469903154162,0.02656953919065687,-2.0497201842149164,-1.5225731938995002,8
et,04050303104,2011,2015,8.84115434604,37.9135797978,et_04050303104_2011,et_04050303104_2015,-0.14203894084407023,-0.08788349831571814,-1.9725243523248832,-2.1145632931689535,5
et,04050803103,2011,2015,8.46646303095,37.4369214482,et_04050803103_2011,et_04050803103_2015,0.47234613919576296,1.0858176425338517,-1.2431080042045537,-0.7707618650087906,10
et,04060100102,2011,2015,10.0165864149,38.2492265926,et_04060100102_2011,et_04060100102_2015,1.3109609379137632,0.36425344022188955,0.5951856492415967,1.90614658715536,3
et,04060102303,2011,2015,9.8912342367,38.3744314394,et_04060102303_2011,et_04060102303_2015,0.1838272460815998,0.29977214428250065,-2.5774472563285844,-2.393620010246985,3
et,04070702702,2011,2015,8.11332653211,38.7753045688,et_04070702702_2011,et_04070702702_2015,0.318774362647504,0.48738714276687883,0.11164623995213091,0.4304206025996349,3
et,04071202302,2011,2015,8.68349171525,38.8054367657,et_04071202302_2011,et_04071202302_2015,0.9349411171644435,0.25246707999052775,-2.377301902508491,-1.4423607853440477,4
et,04081202401,2011,2015,7.58861044429,39.7945944298,et_04081202401_2011,et_04081202401_2015,0.5335162309649256,0.36120051417905735,-1.6457995522385105,-1.112283321273585,5
et,04081702801,2011,2015,7.42843060501,38.9573869302,et_04081702801_2011,et_04081702801_2015,-0.017051584379536744,0.06177370951003233,-2.211926407965531,-2.228977992345068,4
et,04090700105,2011,2015,8.93900132215,40.4714489125,et_04090700105_2011,et_04090700105_2015,0.7480998665388006,1.578097309946196,-2.256320867951197,-1.5082210014123965,6
et,04090900105,2011,2015,8.57190296323,40.3175172324,et_04090900105_2011,et_04090900105_2015,1.0880903116486333,1.0666686460936634,-1.5860364079317508,-0.4979460962831174,3
